iter	Logloss
0	0.6765527305
1	0.6606096114
2	0.6458885944
3	0.6312627147
4	0.6172898802
5	0.6039214061
6	0.5912918333
7	0.5792580334
8	0.5675785823
9	0.5564567019
10	0.54593893
11	0.5358742715
12	0.526161532
13	0.5168612196
14	0.5080472722
15	0.4996341514
16	0.491457566
17	0.483760343
18	0.4762495815
19	0.4692137102
20	0.4623853779
21	0.4558703671
22	0.4496474706
23	0.4437242858
24	0.4380336778
25	0.4324938849
26	0.4272974292
27	0.4223013935
28	0.417476237
29	0.4127956136
30	0.4083810279
31	0.4040953776
32	0.4000391768
33	0.3961218107
34	0.3924646616
35	0.3888623279
36	0.3854262579
37	0.3821105008
38	0.378956822
39	0.3759110417
40	0.372937719
41	0.3701024887
42	0.3673531572
43	0.3646761184
44	0.3622412884
45	0.3597368338
46	0.357391743
47	0.3552138032
48	0.353088966
49	0.3509873047
50	0.3489673607
51	0.3469990699
52	0.345248167
53	0.3434057094
54	0.3415624845
55	0.3398325002
56	0.3381585984
57	0.3366058156
58	0.335051316
59	0.333578714
60	0.3322061341
61	0.3308094579
62	0.3294723966
63	0.3281237483
64	0.3268469916
65	0.3256207857
66	0.3244733867
67	0.3233393652
68	0.3221812434
69	0.3211241726
70	0.3200875341
71	0.3190064891
72	0.318031748
73	0.3170294751
74	0.3160351911
75	0.3151514699
76	0.3143044065
77	0.313477572
78	0.3126770116
79	0.3118126647
80	0.3110328175
81	0.3103043039
82	0.3095579737
83	0.3087751755
84	0.3080429978
85	0.3073688829
86	0.3067002379
87	0.3060631007
88	0.3054359867
89	0.3048138215
90	0.3041770485
91	0.3035542864
92	0.3029872272
93	0.3024141749
94	0.3018417659
95	0.3013063655
96	0.3007736119
97	0.3002467719
98	0.2997282017
99	0.2992530595
100	0.2987638637
101	0.29826696
102	0.2977961968
103	0.2973441898
104	0.2969133611
105	0.2964729566
106	0.2960538873
107	0.2956351241
108	0.2952278665
109	0.294838532
110	0.2944453144
111	0.2940748872
112	0.2936960856
113	0.2933248504
114	0.2929484108
115	0.292593285
116	0.2922710736
117	0.2919346284
118	0.2915885378
119	0.2912726334
120	0.2909527937
121	0.2906361917
122	0.2903309849
123	0.2900263904
124	0.2897150123
125	0.2894370098
126	0.2891517818
127	0.2888626205
128	0.2885874527
129	0.2882961542
130	0.2880350071
131	0.2877822711
132	0.2875252395
133	0.2872715909
134	0.2870254643
135	0.286789543
136	0.286557966
137	0.2863398418
138	0.2860999388
139	0.2858842657
140	0.2856728109
141	0.2854682423
142	0.2852442375
143	0.2850347493
144	0.2848390067
